date,open,high,low,close,volume,ma,pivot,r1,ret,cap,dailyr
2016-05-16,492.4,493.05,477.25,488.7,12956.88,472.36250000000007,491.3666666666666,435.0,656.25,111301.59999999966,111301.59999999966
2016-05-17,491.0,505.5,490.7,502.0,13324.213333333333,475.48750000000007,486.3333333333333,505.48333333333323,0.0,111301.59999999966,111301.59999999966
2016-05-18,498.7,502.95,495.3,500.0,13760.026666666667,478.22250000000014,499.40000000000003,481.96666666666664,964.5999999999663,112266.19999999962,112266.19999999962
2016-05-19,498.5,500.0,489.0,490.1,11484.746666666666,479.78500000000014,499.4166666666667,503.50000000000006,0.0,112266.19999999962,112266.19999999962
2016-05-20,492.45,495.5,488.15,490.8,12477.106666666667,481.0250000000001,493.0333333333333,509.83333333333337,0.0,112266.19999999962,112266.19999999962
2016-05-23,495.4,495.4,485.0,485.7,9970.253333333334,481.57000000000016,491.48333333333335,497.91666666666663,0.0,112266.19999999962,112266.19999999962
2016-05-24,482.0,490.95,482.0,489.65,10827.253333333334,482.41750000000013,488.7,497.9666666666667,0.0,112266.19999999962,112266.19999999962
2016-05-25,493.4,503.0,493.4,502.0,14605.453333333333,483.6000000000001,487.5333333333333,495.4,-1122.4000000000333,111143.79999999958,111143.79999999958
2016-05-26,503.1,523.0,500.3,521.05,17399.96,486.44000000000005,499.4666666666667,481.66666666666663,16205.0,127348.79999999958,127348.79999999958
2016-05-27,520.5,524.95,509.1,514.0,13471.04,488.8325000000001,514.7833333333333,498.6333333333334,0.0,127348.79999999958,127348.79999999958
2016-05-30,515.0,522.0,512.5,512.75,10850.693333333333,490.9200000000001,516.0166666666668,520.4666666666666,0.0,127348.79999999958,127348.79999999958
2016-05-31,514.7,518.7,510.8,515.4,11699.626666666667,494.91,515.75,519.5333333333335,0.0,127348.79999999958,127348.79999999958
2016-06-01,439.1,439.1,430.0,430.55,12096.56,496.29499999999996,514.9666666666667,520.7,0.0,127348.79999999958,127348.79999999958
2016-06-04,433.8,436.15,423.1,426.55,18086.213333333333,496.0575,433.2166666666667,599.9333333333334,0.0,127348.79999999958,127348.79999999958
2016-06-05,461.0,463.4,459.05,461.95,9430.546666666667,496.07,428.59999999999997,443.33333333333337,0.0,127348.79999999958,127348.79999999958
2016-06-06,542.1,544.95,530.3,533.6,13501.666666666666,495.7925,461.4666666666667,398.1499999999999,0.0,127348.79999999958,127348.79999999958
2016-06-09,602.6,637.5,602.6,637.3,19105.413333333334,499.43,536.2833333333333,392.63333333333344,6112.799999999974,133461.59999999957,133461.59999999957
2016-06-10,531.5,534.95,524.25,533.5,19362.266666666666,499.4425,625.8,469.9666666666666,0.0,133461.59999999957,133461.59999999957
2016-06-12,461.8,463.15,454.35,455.0,9747.48,499.0975,530.9,727.3499999999999,0.0,133461.59999999957,133461.59999999957
2016-06-13,529.8,534.4,524.05,531.4,15503.946666666667,501.1,457.5,607.4499999999999,0.0,133461.59999999957,133461.59999999957
2016-06-14,534.4,535.15,525.5,529.2,18325.0,503.125,529.9499999999999,390.95000000000005,-1334.8499999999817,132126.7499999996,132126.7499999996
2016-06-15,531.9,533.4,522.65,529.25,16698.906666666666,504.4875,529.95,534.3999999999999,0.0,132126.7499999996,132126.7499999996
2016-06-16,527.15,528.3,516.1,522.7,11659.266666666666,505.62250000000006,528.4333333333333,537.2500000000001,0.0,132126.7499999996,132126.7499999996
2016-06-17,526.65,533.9,524.7,526.3,14279.56,507.4325,522.3666666666667,540.7666666666665,0.0,132126.7499999996,132126.7499999996
2016-06-20,516.5,523.85,516.2,522.4,17107.8,509.0125,528.3,520.0333333333333,-1320.5999999999613,130806.14999999963,130806.14999999963
2016-06-21,524.0,524.4,515.5,515.75,11393.0,510.515,520.8166666666667,540.3999999999999,0.0,130806.14999999963,130806.14999999963
2016-06-22,517.9,521.0,513.75,516.9,12232.453333333333,511.87749999999994,518.5500000000001,526.1333333333334,0.0,130806.14999999963,130806.14999999963
2016-06-23,517.95,528.0,514.8,524.9,9827.4,513.0224999999999,517.2166666666667,523.3500000000001,464.4000000000078,131270.54999999964,131270.54999999964
2016-06-24,501.0,511.55,492.8,509.8,17395.8,512.4599999999999,522.5666666666666,519.6333333333334,0.0,131270.54999999964,131270.54999999964
2016-06-27,507.2,517.5,507.2,514.2,11100.546666666667,512.47,504.7166666666667,552.3333333333333,0.0,131270.54999999964,131270.54999999964
2016-06-28,515.0,520.45,512.75,513.0,12507.133333333333,512.4825,512.9666666666667,502.2333333333334,-1312.8000000000497,129957.74999999959,129957.74999999959
2016-06-29,517.5,518.65,514.25,518.0,11294.88,512.6125,515.4,513.1833333333334,2052.0,132009.7499999996,132009.7499999996
2016-06-30,522.0,535.2,521.55,533.35,17756.853333333333,517.7525,516.9666666666667,516.55,-1320.0,130689.74999999959,130689.74999999959
2016-07-01,423.35,423.35,407.0,409.0,18906.493333333332,516.8750000000001,530.0333333333333,512.3833333333334,0.0,130689.74999999959,130689.74999999959
2016-07-04,427.8,431.75,425.1,426.05,13139.12,515.08,413.1166666666666,653.0666666666666,0.0,130689.74999999959,130689.74999999959
2016-07-06,539.0,539.0,526.85,533.75,17347.453333333335,515.0875,427.6333333333334,401.1333333333332,1262.9500000000396,131952.69999999963,131952.69999999963
2016-07-07,539.0,545.9,536.0,540.6,11287.24,510.25250000000005,533.1999999999999,328.41666666666674,-1320.00000000005,130632.69999999959,130632.69999999959
2016-07-09,637.9,637.9,622.6,626.15,17115.053333333333,514.885,540.8333333333334,530.3999999999999,0.0,130632.69999999959,130632.69999999959
2016-07-10,531.85,539.35,531.05,532.8,14173.986666666666,518.775,628.8833333333333,459.0666666666667,-1306.100000000016,129326.59999999957,129326.59999999957
2016-07-11,484.5,489.4,482.2,483.55,12129.253333333334,516.3824999999999,534.4,726.7166666666667,0.0,129326.59999999957,129326.59999999957
2016-07-12,457.8,457.8,441.3,447.0,12770.826666666666,512.2724999999999,485.04999999999995,586.5999999999999,0.0,129326.59999999957,129326.59999999957
2016-07-13,562.45,563.0,551.1,554.6,13359.613333333333,513.54,448.7,528.8,258.7999999999853,129585.39999999956,129585.39999999956
2016-07-14,554.3,561.65,553.6,560.0,10506.8,515.405,556.2333333333332,346.29999999999995,-1295.9999999999673,128289.39999999959,128289.39999999959
2016-07-15,557.45,570.4,556.0,565.25,11508.36,517.3525,558.4166666666666,558.8666666666664,-1283.0999999999551,127006.29999999962,127006.29999999962
2016-07-18,570.1,576.8,569.0,569.95,12524.666666666666,519.73,563.8833333333333,560.8333333333333,-1269.8000000000825,125736.49999999955,125736.49999999955
2016-07-19,570.9,573.5,564.0,566.0,9471.52,522.2425000000001,571.9166666666666,558.7666666666667,0.0,125736.49999999955,125736.49999999955
2016-07-20,567.85,567.85,555.95,556.0,10245.16,524.1975,567.8333333333334,579.8333333333333,0.0,125736.49999999955,125736.49999999955
2016-07-21,557.65,557.65,535.7,537.25,13501.786666666667,524.815,559.9333333333334,579.7166666666667,0.0,125736.49999999955,125736.49999999955
2016-07-22,537.95,545.0,532.9,537.0,15467.586666666666,526.1750000000001,543.5333333333333,584.1666666666667,0.0,125736.49999999955,125736.49999999955
2016-07-25,519.0,540.0,518.95,539.45,17280.853333333333,527.4375000000001,538.3000000000001,554.1666666666666,0.0,125736.49999999955,125736.49999999955
2016-07-26,538.8,559.2,535.45,551.5,16870.653333333332,529.3625000000001,532.8000000000001,557.6500000000001,-1255.5999999999922,124480.89999999956,124480.89999999956
2016-07-27,553.7,558.0,543.5,547.8,16766.133333333335,530.8525000000001,548.7166666666667,530.1500000000001,-1242.6999999999869,123238.19999999958,123238.19999999958
2016-07-28,548.85,553.35,538.05,544.2,21480.346666666668,531.3950000000001,549.7666666666667,553.9333333333334,0.0,123238.19999999958,123238.19999999958
2016-07-29,543.0,551.7,543.0,545.75,11541.52,538.2325000000001,545.2,561.4833333333333,0.0,123238.19999999958,123238.19999999958
2016-08-01,414.0,418.75,410.05,416.1,18252.12,537.7350000000001,546.8166666666667,547.4000000000001,0.0,123238.19999999958,123238.19999999958
2016-08-02,401.5,417.9,401.0,406.4,20049.88,531.3675000000001,414.9666666666667,683.5833333333335,0.0,123238.19999999958,123238.19999999958
2016-08-03,415.85,423.0,408.8,411.2,14992.733333333334,524.8975000000002,408.43333333333334,428.9333333333334,0.0,123238.19999999958,123238.19999999958
2016-08-04,426.95,427.05,420.05,422.65,17057.04,514.7225000000001,414.3333333333333,408.06666666666666,-1232.5,122005.69999999958,122005.69999999958
2016-08-06,536.35,541.35,530.8,539.35,11263.173333333334,515.0500000000002,423.25,408.6166666666666,-1220.149999999976,120785.5499999996,120785.5499999996
2016-08-07,540.95,548.45,540.0,545.4,12561.546666666667,518.1425000000002,537.1666666666666,315.70000000000005,1980.299999999956,122765.84999999955,122765.84999999955
2016-08-08,568.45,572.4,566.25,570.35,13092.693333333333,524.3100000000002,544.6166666666667,534.3333333333333,558.0,123323.84999999955,123323.84999999955
2016-08-09,625.5,634.0,619.75,628.65,12541.56,528.0125000000002,569.6666666666666,522.9833333333333,708.400000000021,124032.24999999958,124032.24999999958
2016-08-11,487.05,492.4,483.4,490.0,12579.24,524.5125000000002,627.4666666666667,519.5833333333333,0.0,124032.24999999958,124032.24999999958
2016-08-12,449.6,452.85,447.55,449.0,12274.133333333333,518.7000000000002,488.59999999999997,771.5333333333334,0.0,124032.24999999958,124032.24999999958
2016-08-16,593.5,593.5,580.0,582.95,15058.653333333334,519.3500000000001,449.8,529.6499999999999,-511.0000000000332,123521.24999999955,123521.24999999955
2016-08-17,587.6,597.95,585.2,588.55,13179.44,520.4775000000002,585.4833333333333,319.6,0.0,123521.24999999955,123521.24999999955
2016-08-18,591.1,597.3,591.0,593.95,18573.066666666666,522.3750000000002,590.5666666666667,585.7666666666667,0.0,123521.24999999955,123521.24999999955
2016-08-19,595.4,597.3,586.2,588.0,13574.28,524.9125000000001,594.0833333333334,590.1333333333334,0.0,123521.24999999955,123521.24999999955
2016-08-22,589.75,589.75,579.4,581.6,14761.066666666668,527.1425000000002,590.5,601.9666666666667,0.0,123521.24999999955,123521.24999999955
